"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00114527","Strategic  Integration","PIE","Andriy Feshchyn","Lloyds Pharmacy","PIE implementation for Lloydspharmacy","","","","7/10/2012","","Ready for Release","","8.000","27.000"
"00114701","Strategic  Integration","PIE","Andriy Feshchyn","Dollar Tree, Inc","white label PIE for DollarTree","5.1.4","","","4/17/2012","C4","Closed","3.00","2.000","27.500"
"00117521","Strategic  Integration","PIE","Andriy Feshchyn","Wagner Spray Tech Corporation","WL PIE for Wagner","","","","3/4/2012","","Closed","","0.500","0.500"
"00121630","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas FR","5.0.9","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00121631","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas Canada","5.0.9","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00121632","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas DE","5.0.9","","","3/4/2012","","Closed","","0.000","1.500"
"00121670","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Audio-Technica U.S., Inc.","Update review submission form","","","","3/4/2012","","Closed","","0.500","4.000"
"00121720","Strategic  Integration","PIE","Andriy Feshchyn","Absolute Software","PIE for Absolute - ET integration","","","","6/6/2012","","Closed","","2.000","6.000"
"00122133","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Ashford.com, Inc.","Enable SCI for Ashford.com","5.0.10","","","3/4/2012","C1","Closed","1.50","0.000","1.500"
"00122134","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Embrace Home Loans","Enable SCI","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122135","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Canon Canada","SCI","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122136","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Mars Petcare (Mars)","The Nutro Company SCI Implementation","5.0.10","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122490","Strategic  Integration","Other","Andriy Feshchyn","Aveeno (J&J)","SCI Request - Aveeno","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122488","Strategic  Integration","Other","Andriy Feshchyn","White Stuff","White Stuff - Enable SCI","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122500","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","3/4/2012","c5","Closed","","0.000","1.500"
"00122501","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","3/4/2012","c5","Closed","","0.000","1.500"
"00122507","Strategic  Integration","Other","Andriy Feshchyn","Trina Turk","request to implement SCI","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122508","Strategic  Integration","Other","Andriy Feshchyn","Johnson's Baby (J&J)","SCI Request - Aveeno","5.0.11","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00122596","Strategic  Integration","Other","Andriy Feshchyn","CDW","SCI (Coremetrics) Request","5.0.11","","","3/4/2012","","Closed","","0.000","1.500"
"00122826","Strategic  Integration","Other","Andriy Feshchyn","Gresvig","SCI for 5.0.12","","","","5/29/2012","C5","Closed","4.50","0.000","6.000"
"00122949","Strategic  Integration","Other","Andriy Feshchyn","Pentland Group","Coremetrics account set up","5.0.12","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123056","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123058","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123060","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","Dyson UK dyson.co.uk","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123061","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson (dyson.com)","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123063","Strategic  Integration","Other","Andriy Feshchyn","CamerasDirect.com.au","Implementing SCI for CamerasDirect on their new platform","5.0.13","","","3/4/2012","C5","Closed","1.50","0.000","1.500"
"00123126","Strategic  Integration","PIE","Andriy Feshchyn","Sprint Nextel","Sprint Ready for PIE Implementation","","","","6/18/2012","C1","Closed","","16.000","13.000"
"00123157","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice us","Walmart: focusing after submittion","","","","4/9/2012","C4","Closed","2.00","","7.000"
"00124020","Strategic  Integration","Other","Andriy Feshchyn","Levi's","SCI Implementation for Dockers","5.1.0","","","3/4/2012","C4","Closed","1.50","0.000","1.500"
"00124414","Strategic  Integration","Other","Andriy Feshchyn","","Jayjays SCI Request","5.1.1","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00124415","Strategic  Integration","Other","Andriy Feshchyn","","Dotti SCI Request","5.1.1","","","3/4/2012","","Closed","1.50","0.000","1.500"
"00124887","Support Team","Other","Andriy Feshchyn","Bazaarvoice us","SCI enablement for ZODEE","5.1.2","SCI","","7/3/2012","C4","Closed","1.50","0.000","1.500"
"00124886","Support Team","Other","Andriy Feshchyn","Bazaarvoice us","SCI request","5.1.2","SCI","","7/3/2012","C4","Closed","1.50","0.000","1.500"
"00125562","Support Team","","Andriy Feshchyn","Metro PCS","Enable Social Insights","5.1.3","SCI","","7/3/2012","C6","Closed","1.50","0.000","1.500"
"00125560","Support Team","","Andriy Feshchyn","Bazaarvoice us","Social Commerce Insight Request","5.1.3","SCI","","7/3/2012","C4","Closed","1.50","0.000","1.500"
"00125573","Strategic  Integration","UI Migration","Andriy Feshchyn","Free People","FreePeople: Migrate UI version to 5.1","5.1.3","","","3/4/2012","C1","Closed","","0.000","1.500"
"00126170","Support Team","","Andriy Feshchyn","Bazaarvoice us","SCI implementation","5.1.4","SCI","","7/3/2012","C4","Closed","","0.000","2.000"
"00126171","Support Team","","Andriy Feshchyn","Bazaarvoice us","Mattel Autotag","5.1.4","SCI","","7/3/2012","C4","Closed","","0.000","1.500"
"00126172","Support Team","","Andriy Feshchyn","Bazaarvoice us","PetSmart SCI","5.1.4","SCI","","7/3/2012","C4","Closed","1.50","2.000","0.000"
"00126173","Support Team","","Andriy Feshchyn","Bazaarvoice us","SCI for Clarins UK, FR and US","5.1.4","SCI","","7/3/2012","C4","Closed","1.50","0.000","3.000"
"00126176","Strategic  Integration","UI Migration","Andriy Feshchyn","Lloyds Pharmacy","LLoydsPharmacy UI migration","5.2.2","","","3/27/2012","","Closed","","0.000","8.000"
"00126591","Support Team","","Andriy Feshchyn","Bazaarvoice us","Dollartree Staging URL Update","5.1.5","Integration Fix","","7/3/2012","C4","Closed","","0.500","0.500"
"00127095","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice us","PIE issue Investigation","5.2.2","","","3/27/2012","C4","Closed","","3.000","38.000"
"00127332","Strategic  Integration","UI Migration","Andriy Feshchyn","Bazaarvoice us","Entirelypets UI 4.7 to 5.1","future","","","3/27/2012","C4","Closed","2.00","0.000","5.000"
"00127581","Support Team","","Andriy Feshchyn","Bazaarvoice us","SCI for Bissell","","SCI","","7/3/2012","C4","Closed","","0.500","1.500"
"00127582","Support Team","","Andriy Feshchyn","Bazaarvoice us","SCI for ExtraStorage Space","","SCI","","7/3/2012","C4","Closed","","0.500","1.500"
