"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00131621","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","CCHGroup: Issues found during testing BVC-119794","5.4.1","","","4/12/2012","C4","Closed","1.00","0.000","1.000"
"00131619","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","amexmytrueearnings: migrate ui version 4.8 -> 5.3","5.5.0","","","4/17/2012","C4","Closed","3.00","0.000","3.000"
"00131618","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Always Autotag implementation request - reporting","5.4.1","","","4/11/2012","C4","Closed","2.00","0.000","2.000"
"00131623","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","chargriller: TS issues","5.4.1","","","4/12/2012","C4","Closed","1.00","0.000","1.250"
"00131617","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Eukanuba Autotag implementation request - reporting","5.4.1","","","4/12/2012","C4","Closed","2.00","0.000","2.000"
"00131616","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Otto: issues found during testing BVC-119668","5.4.1","","","4/11/2012","C4","Closed","1.50","0.000","1.500"
"00131122","Support Team","","Igor Gubernat","Dow Chemical Company","Dow: Please swap out the BrandAnswers badge for Lowes","5.5.1","Minor UI Change","5.5.1","4/26/2012","","In Progress","1.00","2.750","1.000"
"00131103","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","AMEXMyTrueEarnings: Button 'Submit' isn't displayed on Report as inappropriate pop-up","5.4.0","","","4/9/2012","C4","Closed","1.00","0.000","1.000"
"00131064","Support Team","","Igor Gubernat","Bazaarvoice","ubank: SCI implementation for reporting","5.4.0","SCI","5.4.0","4/5/2012","C4","Closed","","0.000","2.000"
"00131063","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","undergear: migrate ui version 4.7 -> 5.3","5.4.0","","","4/6/2012","C4","Closed","4.00","0.000","4.000"
"00131061","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","naturalizer: migrate ui version 5.0 -> 5.3","5.4.0","","","4/5/2012","C4","Closed","4.00","0.000","4.000"
"00131042","Support Team","","Igor Gubernat","RioGrande.com","Read your Comment Link Invalid","5.4.1","Social Alerts","5.4.1","4/23/2012","","Closed","1.00","1.000","1.250"
"00130892","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","shoes: migrate ui version 4.9 -> 5.3","5.3.2","","","4/2/2012","C4","Closed","3.00","0.000","4.000"
"00130856","Support Team","","Igor Gubernat","Bazaarvoice","Saba/Sportscraft: migrate to 5.3","5.5.1","Invalid","5.5.1","4/24/2012","C4","Closed","","0.000","6.000"
"00130516","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Dotti-au: Found while testing BVC-118577","5.4.0","","","4/9/2012","C4","Closed","1.00","0.000","0.750"
"00130514","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","avery: migrate ui version 4.7 -> 5.3","5.3.1","","","3/30/2012","C4","Closed","4.00","0.000","4.000"
"00130512","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","hiddenvalley: migrate ui version 4.7 -> 5.1","5.3.1","","","3/30/2012","C4","Closed","2.00","0.000","2.250"
"00130468","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","leejeans: Found while testing BVC-118594","5.4.0","","","4/23/2012","C4","Closed","1.00","0.000","1.000"
"00130470","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","teachco: migrate ui version 4.7 -> 5.1","5.3.1","","","3/30/2012","C4","Closed","4.00","0.000","4.000"
"00129864","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Stives (R&R): TS issues","5.3.1","","","3/30/2012","C4","Closed","1.00","0.000","1.250"
"00129853","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Teachco (R&R): TS issues","5.3.0","","","3/30/2012","C4","Closed","1.25","0.000","1.250"
"00129838","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","petsmart: migrate ui version 4.7 -> 5.1","5.3.0","","","3/30/2012","C4","Closed","3.75","0.000","3.750"
"00129750","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","directbuy - found while testing BVC-115072","5.3.1","","","3/27/2012","C4","Closed","0.75","0.000","0.750"
"00129748","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","smythstoys - ui migration 4.9 - 5.1","5.3.0","","","3/20/2012","C4","Closed","3.25","0.000","3.250"
"00129745","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","directbuy - migrate ui version 4.8 -> 5.1","5.3.1","","","3/27/2012","C4","Closed","4.00","0.000","4.000"
"00129743","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","americanmuscle: migrate ui version 4.7 -> 5.1","5.3.0","","","3/30/2012","C4","Closed","4.00","0.000","4.000"
