"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00126176","Strategic  Integration","UI Migration","Andriy Feshchyn","Lloyds Pharmacy","LLoydsPharmacy UI migration","5.1.5","","","2/20/2012","","Assigned","","0.000","4.000"
"00126173","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for Clarins UK, FR and US","5.1.4","SCI","","2/17/2012","C4","Closed","1.50","0.000","3.000"
"00126172","Support Team","","Andriy Feshchyn","Bazaarvoice","PetSmart SCI","5.1.4","SCI","","2/15/2012","C4","Closed","1.50","2.000","0.000"
"00126171","Support Team","","Andriy Feshchyn","Bazaarvoice","Mattel Autotag","5.1.4","SCI","","2/15/2012","C4","Closed","","0.000","1.500"
"00126170","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI implementation","5.1.4","SCI","","2/15/2012","C4","Closed","","0.000","2.000"
"00125573","Strategic  Integration","UI Migration","Andriy Feshchyn","Free People","FreePeople: Migrate UI version to 5.1","5.1.3","","","2/7/2012","C1","Closed","","0.000","1.500"
"00125560","Support Team","","Andriy Feshchyn","Bazaarvoice","Social Commerce Insight Request","5.1.3","SCI","","2/7/2012","C4","Closed","1.50","0.000","1.500"
"00125562","Support Team","","Andriy Feshchyn","Metro PCS","Enable Social Insights","5.1.3","SCI","","2/7/2012","C6","Closed","1.50","0.000","1.500"
"00124886","Support Team","Other","Andriy Feshchyn","Bazaarvoice","SCI request","5.1.2","SCI","","2/3/2012","C4","Closed","1.50","0.000","1.500"
"00124887","Support Team","Other","Andriy Feshchyn","Bazaarvoice","SCI enablement for ZODEE","5.1.2","SCI","","2/3/2012","C4","Closed","1.50","0.000","1.500"
"00124415","Strategic  Integration","Other","Andriy Feshchyn","","Dotti SCI Request","5.1.1","","","1/25/2012","","Closed","1.50","0.000","1.500"
"00124414","Strategic  Integration","Other","Andriy Feshchyn","","Jayjays SCI Request","5.1.1","","","1/25/2012","","Closed","1.50","0.000","1.500"
"00124020","Strategic  Integration","Other","Andriy Feshchyn","Levi's","SCI Implementation for Dockers","5.1.0","","","1/20/2012","C4","Closed","1.50","0.000","1.500"
"00123157","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice","Walmart: focusing after submittion","5.1.5","","","2/20/2012","C4","Assigned","2.00","","3.000"
"00123063","Strategic  Integration","Other","Andriy Feshchyn","CamerasDirect.com.au","Implementing SCI for CamerasDirect on their new platform","5.0.13","","","1/20/2012","C5","Closed","1.50","0.000","1.500"
"00123061","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson (dyson.com)","5.0.13","","","1/10/2012","C5","Closed","1.50","0.000","1.500"
"00123060","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","Dyson UK dyson.co.uk","5.0.13","","","1/10/2012","C5","Closed","1.50","0.000","1.500"
"00123058","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","1/10/2012","C5","Closed","1.50","0.000","1.500"
"00123056","Strategic  Integration","Other","Andriy Feshchyn","Dyson UK","SCI for Dyson","5.0.13","","","1/10/2012","C5","Closed","1.50","0.000","1.500"
"00122949","Strategic  Integration","Other","Andriy Feshchyn","Pentland Group","Coremetrics account set up","5.0.12","","","1/10/2012","C5","Closed","1.50","0.000","1.500"
"00122826","Strategic  Integration","Other","Andriy Feshchyn","Gresvig","SCI for 5.0.12","","","","1/4/2012","C5","Closed","4.50","0.000","4.500"
"00122596","Strategic  Integration","Other","Andriy Feshchyn","CDW","SCI (Coremetrics) Request","5.0.11","","","1/4/2012","","Closed","","0.000","1.500"
"00122508","Strategic  Integration","Other","Andriy Feshchyn","Johnson's Baby (J&J)","SCI Request - Aveeno","5.0.11","","","12/28/2011","","Closed","1.50","0.000","1.500"
"00122507","Strategic  Integration","Other","Andriy Feshchyn","Trina Turk","request to implement SCI","5.0.11","","","12/28/2011","","Closed","","0.000","1.500"
"00122501","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","12/28/2011","","Closed","","0.000","1.500"
"00122500","Strategic  Integration","Other","Andriy Feshchyn","Groupa Mobivia","Norauto - Enable SCI","5.0.11","","","12/28/2011","","Closed","","0.000","1.500"
"00122488","Strategic  Integration","Other","Andriy Feshchyn","White Stuff","White Stuff - Enable SCI","5.0.11","","","12/28/2011","","Closed","1.50","0.000","1.500"
"00122490","Strategic  Integration","Other","Andriy Feshchyn","Aveeno (J&J)","SCI Request - Aveeno","5.0.11","","","12/28/2011","","Closed","1.50","0.000","1.500"
"00122136","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Mars Petcare (Mars)","The Nutro Company SCI Implementation","5.0.10","","","1/4/2012","","Closed","1.50","0.000","1.500"
"00122135","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Canon Canada","SCI","5.0.10","","","12/28/2011","","Closed","1.50","0.000","1.500"
"00122134","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Embrace Home Loans","Enable SCI","5.0.10","","","12/28/2011","","Closed","1.50","0.000","1.500"
"00122133","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Ashford.com, Inc.","Enable SCI for Ashford.com","5.0.10","","","12/28/2011","C1","Closed","1.50","0.000","1.500"
"00121670","Strategic  Integration","Social Commerce Upgrade","Andriy Feshchyn","Audio-Technica U.S., Inc.","Update review submission form","","","","1/10/2012","","Closed","","0.500","4.000"
"00121632","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas DE","5.0.9","","","12/12/2011","","Closed","","0.000","1.500"
"00121631","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas Canada","5.0.9","","","12/12/2011","","Closed","1.50","0.000","1.500"
"00121630","Strategic  Integration","Other","Andriy Feshchyn","Adidas (EMEA)","SCI for Adidas FR","5.0.9","","","12/12/2011","","Closed","1.50","0.000","1.500"
"00117521","Strategic  Integration","PIE","Andriy Feshchyn","Wagner Spray Tech Corporation","WL PIE for Wagner","","","","1/20/2012","","Closed","","0.500","0.500"
"00114701","Strategic  Integration","PIE","Andriy Feshchyn","Dollar Tree, Inc","white label PIE for DollarTree","5.1.4","","","2/17/2012","C4","In Progress","3.00","2.000","27.500"
"00114527","Strategic  Integration","PIE","Andriy Feshchyn","Lloyds Pharmacy","PIE implementation for Lloydspharmacy","5.1.5","","","2/20/2012","","In Progress","","1.500","8.000"
"00126465","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","skullcandy: submission issue","5.1.4","","","2/15/2012","C4","Closed","2.00","0.500","1.500"
"00126426","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Report Tool","5.2.4","","","2/21/2012","C4","In Progress","20.00","1.000","7.000"
"00125922","Support Team","Other","Andriy Ivaskevych","Bazaarvoice","Social Insights for JTV","5.1.5","SCI","","2/20/2012","C4","In Progress","3.00","0.500","3.500"
"00125897","Strategic  Integration","Social Commerce Upgrade","Andriy Ivaskevych","Cutco Knives (Vector Marketing)","Enable Hosted Authentication","5.1.5","","","2/21/2012","C4","In Progress","18.00","0.000","20.000"
"00125831","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","ModernTeachingAids: QA tab issue","5.1.4","","","2/9/2012","C4","Closed","1.00","0.500","0.500"
"00125555","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","UI Notes Merger Tool","5.1.5","","","2/20/2012","C4","Assigned","8.00","","12.000"
"00125374","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Debenhams: Formatting issue","5.1.3","","","2/3/2012","C4","Closed","2.00","","2.000"
"00125302","Strategic  Integration","Social Commerce Upgrade","Andriy Ivaskevych","Cutco Knives (Vector Marketing)","uiVersion Migration, setup Exact Target template for Hosted Authentication","5.1.3","","","2/9/2012","C4","Closed","10.00","0.000","10.000"
"00125106","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","SCI Request for Audio Technica","5.1.3","","","2/1/2012","C4","Closed","1.50","0.000","1.500"
"00125078","Support Team","","Andriy Ivaskevych","Alberto-Culver Company","Changes to review form","5.1.3","Minor UI Change","","2/9/2012","","Closed","4.00","0.000","4.000"
"00124729","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Nokiacom: Facebook Connect and Login Issues","5.1.2","","","1/31/2012","C4","Closed","10.00","0.000","8.000"
"00124572","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Restaurant.com: change properties","5.1.2","","","1/31/2012","C4","Closed","3.00","0.000","3.000"
"00124417","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Goertz : new JS migration","5.1.1","","","1/31/2012","C4","Closed","3.00","0.000","3.000"
"00124329","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Allowing Customers to Comment on Reviews","5.1.1","","","1/31/2012","C4","Closed","3.00","0.000","3.000"
"00123406","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","crateandbarrel & cb2 Hosted Authentication","5.1.2","","","2/1/2012","C4","Closed","15.00","0.750","26.000"
"00123046","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Stockmann-fi: issue with submission content with UI 5.0","5.0.13","","","1/5/2012","C4","Closed","2.00","","2.000"
"00123038","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Petco: investingate functional issue","5.0.13","","","1/5/2012","C4","Closed","1.00","0.000","1.000"
"00122938","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","MarcOPolo: migration to main display","5.2.1","","","2/15/2012","C4","Assigned","3.00","","3.000"
"00122682","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Karenmillen: lightbox to center","5.0.12","","","12/29/2011","C4","Closed","2.00","","2.000"
"00122618","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Footlocker, Eastbay, CCS: Enable Facebook Connect for Staging Environments","5.0.12","","","1/6/2012","C4","Closed","8.00","","8.000"
"00122617","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Issue with Play image on Video play thumbnail","5.0.13","","","1/12/2012","C4","Closed","1.50","","1.500"
"00122592","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Rayovac: TS issues","5.0.11","","","1/5/2012","C4","Closed","3.00","","3.000"
"00122589","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Dixons-nl (R&R, A&A): Results of Weekly Release Testing on Staging","5.0.11","","","12/28/2011","C4","Closed","0.50","","0.500"
"00122583","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Lululemon, Bestbuy: Issue with id attribute","5.0.10","","","12/28/2011","C4","Closed","0.25","","0.250"
"00122582","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","Vintage Tub: GUI issues with Facebook Connect","5.0.11","","","1/5/2012","C4","Closed","2.00","","1.000"
"00122581","Strategic  Integration","Other","Andriy Ivaskevych","Bazaarvoice","WilliamsSonoma: TS issue","5.0.11","","","1/5/2012","C4","Closed","1.00","","1.000"
"00122527","Support Team","","Andriy Ivaskevych","Bazaarvoice","BassProShops (PRR): TS issues","5.0.11","Feature Request/ Disable (No-Design)","5.0.11","12/28/2011","C4","Closed","1.00","","1.000"
"00119074","Strategic  Integration","PIE","Andriy Ivaskevych","Brown Shoe Co.","We would like to implement PIE on our 3 sites","5.1.4","","","2/17/2012","C1","Closed","1.00","0.500","1.500"
"00127083","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice","Walmart - UI migration 5.0 -> 5.1","5.1.5","","","2/21/2012","C4","In Progress","4.00","0.000","2.000"
"00126600","Strategic  Integration","UI Migration","Anna Hordiyenko","Bazaarvoice","DRL: migrate to 5.1 defaultui","5.1.5","","","2/17/2012","C4","In Progress","6.00","0.000","5.000"
"00126345","Support Team","","Anna Hordiyenko","Bazaarvoice","GA Social insight request","5.1.4","SCI","5.1.4","2/17/2012","C4","Closed","3.00","0.000","1.500"
"00124834","Support Team","","Anna Hordiyenko","Rosetta Stone","Removing authentication from UK site","5.1.2","Feature Request/ Disable (No-Design)","","2/6/2012","C4","Closed","1.00","0.300","1.000"
"00122777","Support Team","PIE","Anna Hordiyenko","Bilka","Getting company reviews","5.0.13","Feature Request/ Disable (No-Design)","","1/19/2012","C5","Closed","2.00","1.000","2.000"
"00122714","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice","Golfsmith migration to 5.0","5.0.12","","","1/20/2012","C4","Closed","","0.000","4.500"
"00122715","Strategic  Integration","Other","Anna Hordiyenko","Bazaarvoice","B&Q DIY migration to 5.1","5.1.5","","","2/20/2012","C4","New","6.00","0.000","3.000"
"00121487","Strategic  Integration","Other","Anna Hordiyenko","3M Company (3M)","Migration of Social Alerts from Exact Target to Epsilon","5.1.5","","","2/21/2012","C4","In Progress","","4.000","43.000"
"00121080","Strategic  Integration","Feature Adoption","Anna Hordiyenko","Home Made Simple (P&G)","Home Made Simple Feature Updates","","","","1/26/2012","C4","Closed","","0.250","5.500"
"00120393","Strategic  Integration","Freemarker Migration","Anna Hordiyenko","PetSmart","Freemarker Migration - PetSmart","5.0.8","","","12/13/2011","C4","Closed","24.00","0.250","37.500"
"00116320","Strategic  Integration","PIE","Anna Hordiyenko","CVS","WL PIE for CVS","5.1.5","","","2/21/2012","","In Progress","3.00","1.500","17.000"
"00115261","Support Team","","Anna Hordiyenko","B&Q plc (GBP)","RE: B&Q","5.0.11","Feature Request/ Disable (Design Required)","","1/20/2012","C5","Closed","4.00","8.000","24.000"
"00114184","Strategic  Integration","PIE","Anna Hordiyenko","Guthy-Renker Scandinavia","Proactiv FI - PIE with eCircle","5.0.9","","","2/9/2012","C5","Closed","","0.250","2.750"
