"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00146565","Support Team","","Andriy Feshchyn","Bazaarvoice US","SCI for Healthy Pets","","","","10/9/2012","C4","Closed","","1.000","1.500"
"00146536","Strategic  Integration","","Andriy Feshchyn","Crane & Co","Maintenance Free PIE","","","","11/6/2012","","In Progress","","0.000","2.000"
"00146398","Strategic  Integration","","Andriy Feshchyn","3M Company (3M)","Command: UI migration to 5.6","","","","10/8/2012","C4","Closed","","0.000","3.000"
"00146397","Strategic  Integration","","Andriy Feshchyn","3M Company (3M)","Pruvenpetproducts:UI Migration","","","","10/9/2012","C4","Closed","","0.000","4.000"
"00145812","Strategic  Integration","","Andriy Feshchyn","Elkjøp AS (part of DSGI)","elkjop-sk: PIE setup","","","","10/2/2012","C5","Closed","","0.000","4.000"
"00145801","Strategic  Integration","","Andriy Feshchyn","Elkjøp AS (part of DSGI)","elgiganten-se: PIE Setup","","","","10/31/2012","C5","Closed","","1.500","6.500"
"00145800","Strategic  Integration","","Andriy Feshchyn","Elkjøp AS (part of DSGI)","electroworld-sv: PIE Setup","","","","10/31/2012","C5","In Progress","","2.000","10.000"
"00141569","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice US","PIE troubleshooting workflow.","","","","11/6/2012","C4","Closed","","17.000","50.000"
"00141537","Strategic  Integration","PIE","Andriy Feshchyn","See's Candy Shops Inc","See's: Implement BV WL PIE","","","","10/8/2012","C4","Closed","","1.000","10.000"
"00140435","Support Team","","Andriy Feshchyn","Bazaarvoice US","INTERNAL Anthropologie PIE setup","","Social Alerts","","9/10/2012","C4","Closed","","2.000","14.000"
"00138493","Support Team","","Andriy Feshchyn","Bazaarvoice US","INTERNAL enable SCI for Neiman Marcus","","SCI","","7/3/2012","C4","Closed","","2.000","8.000"
